Province,District,Division,Houses Damaged,Affected
Sabaragamuwa,Kegalle,Yatiyanthota,0,25
Eastern,Batticaloa,Manmunai North (Batti Town),1,5
Eastern,Batticaloa,Manmunai Pattu (Araipattai),0,4
Eastern,Batticaloa,Koralai Pattu South (Kiran),0,4
Eastern,Batticaloa,Manmunai Pattu (Araipattai),1,3
Central,Kandy,Udunuwara,6,21
North-Western,Kurunegala,Kuliyapitiya West,3,9
Central,Kandy,Delthota,1,3
Southern,Galle,Elpitiya,4,22
Southern,Hambantota,Beliatta,2,8
Central,Nuwara Eliya,Nuwara Eliya,39,356
Sabaragamuwa,Kegalle,Warakapola,9,37
Sabaragamuwa,Kegalle,Warakapola,0,0
Sabaragamuwa,Kegalle,Kegalle,2,13
Sabaragamuwa,Kegalle,Galigamuwa,5,28
Sabaragamuwa,Kegalle,Galigamuwa,0,22
Sabaragamuwa,Kegalle,Ruwanwella,15,832
Sabaragamuwa,Kegalle,Deraniyagala,102,372
Sabaragamuwa,Kegalle,Dehiovita,457,2140
Sabaragamuwa,Kegalle,Rambukkana,1,22
Sabaragamuwa,Ratnapura,Eheliyagoda,0,27
Sabaragamuwa,Ratnapura,Kuruvita,48,6100
Sabaragamuwa,Ratnapura,Nivithigala,17,574
Sabaragamuwa,Ratnapura,Ratnapura,85,7348
Sabaragamuwa,Ratnapura,Elapatha,5,8624
Sabaragamuwa,Ratnapura,Kalawana,8,216
Sabaragamuwa,Ratnapura,Kiriella,12,5850
Sabaragamuwa,Ratnapura,Pelmadulla,29,1016
Sabaragamuwa,Ratnapura,Ayagama,16,515
Southern,Matara,Kirinda Puhulwella,9,34
Southern,Matara,Kotapola,12,44
Southern,Matara,Akuressa,2,8
Southern,Matara,Malimbada,0,10
Western,Kalutara,Kalutara,5,57
Western,Kalutara,Bandaragama,16,366
Western,Kalutara,Mathugama,8,420
Western,Kalutara,Walallavita,39,400
Western,Kalutara,Dodangoda,10,127
Western,Kalutara,Palindanuwara,1,296
Western,Kalutara,Horana,78,530
Western,Kalutara,Agalawatta,8,93
Western,Kalutara,Millaniya,5,938
Western,Kalutara,Bulathsinhala,21,794
Western,Gampaha,Gampaha,26,4784
Western,Gampaha,Attanagalla,20,3513
Western,Gampaha,Wattala,12,24528
Western,Gampaha,Biyagama,12,10049
Western,Gampaha,Kelaniya,24,9399
Western,Gampaha,Ja-Ela,100,6606
Western,Gampaha,Katana,1,4238
North-Western,Kurunegala,Kuliyapitiya West,76,2038
North-Western,Kurunegala,Narammala,1,579
North-Western,Kurunegala,Udubaddawa,32,2121
North-Western,Kurunegala,Pannala,104,3580
North-Western,Kurunegala,Rasnayakapura,10,539
North-Western,Kurunegala,Polgahawela,20,222
North-Western,Kurunegala,Rideegama,9,49
North-Western,Kurunegala,Weerambugedara,0,34
North-Western,Kurunegala,Kuliyapitiya East,0,19
North-Western,Kurunegala,Nikaweratiya,0,44
North-Western,Kurunegala,Bamunukotuwa,0,320
North-Western,Kurunegala,Alawwa,0,105
North-Western,Kurunegala,Bingiriya,1,1722
North-Western,Kurunegala,Mawathagama,2,7
North-Western,Puttalam,Mahawewa,151,4873
North-Western,Puttalam,Dankotuwa,5,481
North-Western,Puttalam,Mundalama,47,5249
North-Western,Puttalam,Arachchikattuwa,2,1505
North-Western,Puttalam,Pallama,26,663
North-Western,Puttalam,Karuwalagaswewa,5,558
North-Western,Puttalam,Anamaduwa,12,497
North-Western,Puttalam,Nattandiya,226,11856
North-Western,Puttalam,Chilaw,0,6015
North-Western,Puttalam,Vanathavilluwa,39,1089
North-Western,Puttalam,Puttalam,15,1397
North-Western,Puttalam,Madampe,21,2707
Western,Colombo,Hanwella,0,1122
Western,Colombo,Kolonnawa,0,9723
Western,Colombo,Homagama,291,1126
Western,Colombo,Dehiwala,0,3
