Division,Month,Affected
YATIYANTHOTA,2,25
MANMUNAI NORTH (BATTI TOWN),2,5
MANMUNAI PATTU (ARAIPATTAI),2,4
KORALAI PATTU SOUTH (KIRAN),3,4
MANMUNAI PATTU (ARAIPATTAI),3,3
UDUNUWARA,4,21
KULIYAPITIYA WEST,4,9
DELTHOTA,5,3
ELPITIYA,6,22
BELIATTA,7,8
NUWARA ELIYA,5,356
WARAKAPOLA,5,37
KEGALLE,5,13
GALIGAMUWA,5,28
GALIGAMUWA,5,22
RUWANWELLA,5,832
DERANIYAGALA,5,372
DEHIOVITA,5,2140
RAMBUKKANA,5,22
EHELIYAGODA,5,27
KURUVITA,5,6100
NIVITHIGALA,5,574
RATNAPURA,5,7348
ELAPATHA,5,8624
KALAWANA,5,216
KIRIELLA,5,5850
PELMADULLA,5,1016
AYAGAMA,5,515
KIRINDA PUHULWELLA,5,34
KOTAPOLA,5,44
AKURESSA,5,8
MALIMBADA,5,10
KALUTARA,5,57
BANDARAGAMA,5,366
MATHUGAMA,5,420
WALALLAVITA,5,400
DODANGODA,5,127
PALINDANUWARA,5,296
HORANA,5,530
AGALAWATTA,5,93
MILLANIYA,5,938
BULATHSINHALA,5,794
GAMPAHA,5,4784
ATTANAGALLA,5,3513
WATTALA,5,24528
BIYAGAMA,5,10049
KELANIYA,5,9399
JA-ELA,5,6606
KATANA,5,4238
KULIYAPITIYA WEST,5,2038
NARAMMALA,5,579
UDUBADDAWA,5,2121
PANNALA,5,3580
RASNAYAKAPURA,5,539
POLGAHAWELA,5,222
RIDEEGAMA,5,49
WEERAMBUGEDARA,5,34
KULIYAPITIYA EAST,5,19
NIKAWERATIYA,5,44
BAMUNUKOTUWA,5,320
ALAWWA,5,105
BINGIRIYA,5,1722
MAWATHAGAMA,5,7
MAHAWEWA,5,4873
DANKOTUWA,5,481
MUNDALAMA,5,5249
ARACHCHIKATTUWA,5,1505
PALLAMA,5,663
KARUWALAGASWEWA,5,558
ANAMADUWA,5,497
NATTANDIYA,5,11856
CHILAW,5,6015
VANATHAVILLUWA,5,1089
PUTTALAM,5,1397
MADAMPE,5,2707
HANWELLA,5,1122
KOLONNAWA,5,9723
HOMAGAMA,5,1126
DEHIWALA,5,3
GANEWATTA,5,18
MASPOTHA,5,36
WARIYAPOLA,5,10
KURUNEGALA,5,12
MALLAWAPITIYA,5,14
MAHAKUMBUKKADAWALA,5,316
WENNAPPUWA,5,1577
MADURAWALA,5,1615
INGIRIYA,5,301
COLOMBO,5,593
KADUWELA,5,7216
KESBEWA,5,126
SRI JAYAWARDANAPURA KOTTE,5,157
THIMBIRIGASYAYA,5,904
PADUWASNUWARA WEST,5,889
PANDUWASNUWARA EAST,5,249
KOBEIGANE,5,12
KOTAVEHERA,5,11
ISLAND NORTH(KAYTS),5,4
VALIKAMAM SOUTH (UDUVIL),5,5
AMBAGAMUWAKORALE,5,28
KOTHMALE,5,18
THIHAGODA,5,139
WELIPITIYA,5,16
HAKMANA,5,106
ATHURALIYA,5,26
PITABEDDARA,5,13
KALPITIYA,5,2758
NAWAGATTEGAMA,5,34
BERUWALA,5,161
PANADURA,5,30
ERAVUR PATTU (CHENKALADY),5,1216
POLGAHAWELA,8,287
MANMUNAI NORTH (BATTI TOWN),8,1
KORALAI PATTU (VALACHCHENAI),7,3
AKURANA,9,83
POOJAPITIYA,9,10
HARISPATTUWA,9,15
MAHAWEWA,10,18
AKMEEMANA,10,1125
SRI JAYAWARDANAPURA KOTTE,10,2863
MAHARAGAMA,10,386
MORATUWA,10,3782
KOLONNAWA,10,4003
THIMBIRIGASYAYA,10,2225
COLOMBO,10,2845
HANWELLA,10,4
KESBEWA,10,540
HOMAGAMA,10,596
PADUKKA,10,47
RATMALANA,10,110
KADUWELA,10,254
GAMPAHA,10,91
ATTANAGALLA,10,10
WATTALA,10,8330
BIYAGAMA,10,91
MAHARA,10,344
KELANIYA,10,8413
NACHCHADOOWA,10,94
UDAPALATHA,10,55
AKURANA,10,21
PASBAGE KORALE,10,6
MEDADUMBARA,10,118
CHILAW,10,65
VANATHAVILLUWA,10,20
NIYAGAMA,10,668
YAKKALAMULLA,10,1828
BADDEGAMA,10,405
HABARADUWA,10,620
NAGODA,10,3105
GALLE FOUR GRAVETS,10,2657
IMADUWA,10,791
ELPITIYA,10,3691
WELIVITIYA-DIVITHURA,10,64
NUWARA ELIYA,10,55
WELIPITIYA,10,18
PITABEDDARA,10,50
HAKMANA,10,4
MULATIYANA,10,15
MADHU,10,184
BUTTALA,10,54
UDUNUWARA,11,4
ARACHCHIKATTUWA,11,931
PALLAMA,11,118
KARUWALAGASWEWA,11,243
KARUWALAGASWEWA,11,243
NAWAGATTEGAMA,11,128
MAHAWEWA,11,236
MUNDALAMA,11,81
MADAMPE,11,53
CHILAW,11,250
NATTANDIYA,11,88
WENNAPPUWA,11,560
ANAMADUWA,11,9
KALPITIYA,11,251
NALLUR,10,9
NALLUR,11,13
VALIKAMAM WEST (CHANKANAI),10,99
